adhesome_gene,corr,tissue,study
RAP1A,0.370759024,Esophagus,GTEx
CAPZA1,-0.261829491,Esophagus,GTEx
ITGA10,0.24383838,Esophagus,GTEx
HAX1,0.340224679,Esophagus,GTEx
SHC1,0.288912681,Esophagus,GTEx
ARHGEF2,0.472738594,Esophagus,GTEx
CSRP1,0.410362742,Esophagus,GTEx
PTPN14,0.457688534,Esophagus,GTEx
CAPN2,0.315850219,Esophagus,GTEx
ENAH,0.346784276,Esophagus,GTEx
ARF1,0.003322945,Esophagus,GTEx
RHOU,0.413508909,Esophagus,GTEx
ACP1,0.285695607,Esophagus,GTEx
ASAP2,0.582470243,Esophagus,GTEx
ITGB1BP1,0.337714993,Esophagus,GTEx
SDC1,-0.087703114,Esophagus,GTEx
SOS1,0.466661772,Esophagus,GTEx
SPTBN1,0.474287013,Esophagus,GTEx
CTNNA2,0.346903769,Esophagus,GTEx
FHL2,0.291997872,Esophagus,GTEx
NCK2,0.006718002,Esophagus,GTEx
LIMS1,0.408077365,Esophagus,GTEx
ACTR3,-0.113392172,Esophagus,GTEx
LIMS2,0.374596549,Esophagus,GTEx
PKP4,0.375203141,Esophagus,GTEx
ITGB6,-0.093269739,Esophagus,GTEx
ITGA6,0.007348916,Esophagus,GTEx
ITGA4,0.411930086,Esophagus,GTEx
ITGAV,0.434333535,Esophagus,GTEx
CASP8,-0.007903945,Esophagus,GTEx
ABI2,0.525147814,Esophagus,GTEx
NRP2,0.499755977,Esophagus,GTEx
TNS1,0.500621993,Esophagus,GTEx
ARPC2,-0.238735473,Esophagus,GTEx
IRS1,0.287920364,Esophagus,GTEx
INPP5D,0.162355148,Esophagus,GTEx
ILKAP,0.363281801,Esophagus,GTEx
ANKRD28,0.373800028,Esophagus,GTEx
ITGA9,0.444446318,Esophagus,GTEx
CTNNB1,0.484717666,Esophagus,GTEx
RHOA,0.313056867,Esophagus,GTEx
PPM1M,0.383033288,Esophagus,GTEx
NISCH,0.589877176,Esophagus,GTEx
PRKCD,-0.071510493,Esophagus,GTEx
FLNB,0.488606493,Esophagus,GTEx
MAGI1,0.397574522,Esophagus,GTEx
CD47,0.446457129,Esophagus,GTEx
ITGB5,0.206542362,Esophagus,GTEx
HEG1,0.417906508,Esophagus,GTEx
PLD1,-0.201073232,Esophagus,GTEx
ECT2,-0.221295736,Esophagus,GTEx
PIK3CA,0.453430393,Esophagus,GTEx
LPP,0.406617597,Esophagus,GTEx
DLG1,-0.046411002,Esophagus,GTEx
ADD1,0.472494867,Esophagus,GTEx
SHROOM3,0.09419774,Esophagus,GTEx
ARHGAP24,0.482920049,Esophagus,GTEx
GAB1,0.531924039,Esophagus,GTEx
RAPGEF2,0.553278722,Esophagus,GTEx
PALLD,0.315763389,Esophagus,GTEx
CASP3,-0.229562033,Esophagus,GTEx
SORBS2,0.401692399,Esophagus,GTEx
FAT1,0.436131578,Esophagus,GTEx
EXOC3,0.412509905,Esophagus,GTEx
CTNND2,0.327583618,Esophagus,GTEx
TRIO,0.544649385,Esophagus,GTEx
CDH18,0.245076744,Esophagus,GTEx
CDH12,0.091954894,Esophagus,GTEx
CDH10,0.208905185,Esophagus,GTEx
CDH9,0.237089697,Esophagus,GTEx
CDH6,0.248517136,Esophagus,GTEx
PDZD2,0.029857718,Esophagus,GTEx
ITGA1,0.364615109,Esophagus,GTEx
ITGA2,-0.155726954,Esophagus,GTEx
PDE4D,0.43139073,Esophagus,GTEx
RASA1,0.516059445,Esophagus,GTEx
FER,0.638342809,Esophagus,GTEx
PPP2CA,-0.162041312,Esophagus,GTEx
CTNNA1,0.13650911,Esophagus,GTEx
DIAPH1,-0.235593835,Esophagus,GTEx
ARHGAP26,0.389596878,Esophagus,GTEx
DBN1,0.405733551,Esophagus,GTEx
NEDD9,0.277731862,Esophagus,GTEx
RNF5,0.360438054,Esophagus,GTEx
DEF6,-0.075407926,Esophagus,GTEx
CD2AP,-0.109915277,Esophagus,GTEx
MYO6,-0.093525479,Esophagus,GTEx
FYN,0.308023773,Esophagus,GTEx
MARCKS,-0.142367043,Esophagus,GTEx
PTPRK,0.511258496,Esophagus,GTEx
EZR,-0.150764905,Esophagus,GTEx
GNA12,0.381262125,Esophagus,GTEx
ACTB,0.328341464,Esophagus,GTEx
FSCN1,-0.16971733,Esophagus,GTEx
RAC1,-0.25894777,Esophagus,GTEx
ITGB8,0.084717961,Esophagus,GTEx
ELMO1,0.319398663,Esophagus,GTEx
EGFR,0.522238773,Esophagus,GTEx
LIMK1,-0.104643481,Esophagus,GTEx
HSPB1,-0.306864825,Esophagus,GTEx
PTPN12,0.345358591,Esophagus,GTEx
KRIT1,0.641600916,Esophagus,GTEx
TRIP6,0.192044976,Esophagus,GTEx
CBLL1,0.352426695,Esophagus,GTEx
TES,0.270205529,Esophagus,GTEx
CAV1,0.35507882,Esophagus,GTEx
MET,0.130339826,Esophagus,GTEx
WASL,0.414187889,Esophagus,GTEx
ZYX,0.323107332,Esophagus,GTEx
KCNH2,0.37367988,Esophagus,GTEx
DLC1,0.367404334,Esophagus,GTEx
SORBS3,0.276020562,Esophagus,GTEx
PTK2B,0.002449327,Esophagus,GTEx
ADAM9,0.258255773,Esophagus,GTEx
LYN,-0.012952061,Esophagus,GTEx
SDCBP,0.258348875,Esophagus,GTEx
PABPC1,-0.18492745,Esophagus,GTEx
PTK2,0.489545392,Esophagus,GTEx
SCRIB,-0.199559486,Esophagus,GTEx
PLEC,0.566205128,Esophagus,GTEx
SHARPIN,0.245545306,Esophagus,GTEx
TESK1,0.325188773,Esophagus,GTEx
TLN1,0.456899355,Esophagus,GTEx
TJP2,0.130426034,Esophagus,GTEx
OSTF1,-0.266054361,Esophagus,GTEx
SYK,-0.241803811,Esophagus,GTEx
SPTLC1,-0.018935323,Esophagus,GTEx
CORO2A,-0.021623104,Esophagus,GTEx
ENG,0.224281115,Esophagus,GTEx
ABL1,0.332898361,Esophagus,GTEx
RAPGEF1,0.427183418,Esophagus,GTEx
VAV2,0.50742352,Esophagus,GTEx
ITGA8,0.304611127,Esophagus,GTEx
VIM,0.312259548,Esophagus,GTEx
ARHGAP21,0.529942789,Esophagus,GTEx
ABI1,-0.139005033,Esophagus,GTEx
MPP7,0.144774834,Esophagus,GTEx
SVIL,0.399560948,Esophagus,GTEx
ARHGAP12,0.42201598,Esophagus,GTEx
ITGB1,0.316174799,Esophagus,GTEx
NRP1,0.35495569,Esophagus,GTEx
PARD3,0.254303731,Esophagus,GTEx
MAPK8,0.370073798,Esophagus,GTEx
ANK3,0.307875175,Esophagus,GTEx
CTNNA3,0.301940951,Esophagus,GTEx
VCL,0.473253167,Esophagus,GTEx
DLG5,0.526245689,Esophagus,GTEx
LDB3,0.441232554,Esophagus,GTEx
PTEN,0.427194842,Esophagus,GTEx
SORBS1,0.432142312,Esophagus,GTEx
ADAM12,0.03980186,Esophagus,GTEx
DOCK1,0.586106365,Esophagus,GTEx
HRAS,-0.360437209,Esophagus,GTEx
CD151,0.315899702,Esophagus,GTEx
ILK,0.378879049,Esophagus,GTEx
PARVA,0.381736443,Esophagus,GTEx
PLEKHA7,-0.193910722,Esophagus,GTEx
PTPRJ,0.368998307,Esophagus,GTEx
CTNND1,-0.146247905,Esophagus,GTEx
LPXN,0.431588824,Esophagus,GTEx
SLC3A2,-0.081722792,Esophagus,GTEx
FERMT3,0.202412571,Esophagus,GTEx
CAPN1,-0.192807906,Esophagus,GTEx
CFL1,-0.077012744,Esophagus,GTEx
CORO1B,-0.123496366,Esophagus,GTEx
PPFIA1,0.483823124,Esophagus,GTEx
CTTN,0.022731228,Esophagus,GTEx
INPPL1,0.488990785,Esophagus,GTEx
MYO7A,0.376396574,Esophagus,GTEx
PAK1,0.542141124,Esophagus,GTEx
RDX,0.48527813,Esophagus,GTEx
LAYN,0.231555448,Esophagus,GTEx
CBL,0.619223481,Esophagus,GTEx
THY1,0.16065387,Esophagus,GTEx
ARHGEF12,0.457971126,Esophagus,GTEx
ARHGAP32,-0.21138461,Esophagus,GTEx
PTPN6,-0.139749451,Esophagus,GTEx
PTPRO,0.398545464,Esophagus,GTEx
TUBA1B,0.264894576,Esophagus,GTEx
RACGAP1,-0.218137917,Esophagus,GTEx
LIMA1,0.395825485,Esophagus,GTEx
ITGB7,-0.155356589,Esophagus,GTEx
ITGA5,0.191817848,Esophagus,GTEx
ITGA7,0.461285666,Esophagus,GTEx
LRP1,0.401114674,Esophagus,GTEx
AGAP2,0.338498433,Esophagus,GTEx
LIN7A,0.388375659,Esophagus,GTEx
VEZT,0.53779077,Esophagus,GTEx
SSH1,0.41709427,Esophagus,GTEx
TRPV4,-0.073955463,Esophagus,GTEx
GIT2,0.557977345,Esophagus,GTEx
PTPN11,0.38311391,Esophagus,GTEx
PXN,0.450984554,Esophagus,GTEx
CLIP1,0.194125378,Esophagus,GTEx
STARD13,0.361108676,Esophagus,GTEx
TRPC4,0.279882179,Esophagus,GTEx
LMO7,0.067711959,Esophagus,GTEx
ARHGEF7,0.389811065,Esophagus,GTEx
MMP14,0.214449551,Esophagus,GTEx
CDH24,0.124939199,Esophagus,GTEx
PRKD1,0.339365245,Esophagus,GTEx
ARHGAP5,0.291762376,Esophagus,GTEx
ARF6,-0.250052939,Esophagus,GTEx
FERMT2,0.390697019,Esophagus,GTEx
KTN1,0.461593349,Esophagus,GTEx
AKAP5,0.403154059,Esophagus,GTEx
HSPA2,0.312552709,Esophagus,GTEx
ACTN1,0.342939322,Esophagus,GTEx
PSEN1,0.185235187,Esophagus,GTEx
NUMB,0.533589341,Esophagus,GTEx
DYNC1H1,0.580252837,Esophagus,GTEx
ZFYVE21,0.421005197,Esophagus,GTEx
AKT1,0.371354438,Esophagus,GTEx
TJP1,0.028031714,Esophagus,GTEx
TRPM7,0.585810498,Esophagus,GTEx
CGNL1,0.25167788,Esophagus,GTEx
ADAM10,0.229641533,Esophagus,GTEx
ITGA11,0.309115388,Esophagus,GTEx
CSK,-0.193518055,Esophagus,GTEx
PEAK1,0.38623336,Esophagus,GTEx
CIB2,0.286736176,Esophagus,GTEx
CIB1,-0.283651909,Esophagus,GTEx
IQGAP1,0.366159609,Esophagus,GTEx
SYNM,0.395996031,Esophagus,GTEx
MAPK8IP3,0.441869584,Esophagus,GTEx
PKD1,0.559673489,Esophagus,GTEx
PDPK1,0.531153403,Esophagus,GTEx
NUDT16L1,0.061636459,Esophagus,GTEx
SH2B1,0.525550937,Esophagus,GTEx
ITGAL,0.140639035,Esophagus,GTEx
ITGAM,0.394377649,Esophagus,GTEx
ITGAX,0.029870234,Esophagus,GTEx
ITGAD,0.222830434,Esophagus,GTEx
TGFB1I1,0.334112929,Esophagus,GTEx
CDH8,0.35116935,Esophagus,GTEx
CDH11,0.408528765,Esophagus,GTEx
CDH5,0.299940735,Esophagus,GTEx
CDH3,-0.057944967,Esophagus,GTEx
CDH1,-0.061941774,Esophagus,GTEx
BCAR1,0.316739315,Esophagus,GTEx
CDH15,0.254912893,Esophagus,GTEx
CRK,0.331110702,Esophagus,GTEx
ITGAE,0.05895496,Esophagus,GTEx
PFN1,0.243473578,Esophagus,GTEx
NDEL1,-0.007470704,Esophagus,GTEx
MYH10,0.506803069,Esophagus,GTEx
GIT1,0.129621122,Esophagus,GTEx
SRCIN1,0.106531195,Esophagus,GTEx
LASP1,0.059747071,Esophagus,GTEx
GRB7,-0.094987329,Esophagus,GTEx
WIPF2,-0.033144172,Esophagus,GTEx
JUP,-0.034533157,Esophagus,GTEx
STAT3,0.159955761,Esophagus,GTEx
ITGB3,0.435188622,Esophagus,GTEx
ABI3,0.051765995,Esophagus,GTEx
ITGA3,0.275196838,Esophagus,GTEx
NME1,-0.29066103,Esophagus,GTEx
PRKCA,0.411776524,Esophagus,GTEx
GRB2,0.411968445,Esophagus,GTEx
ITGB4,0.010506351,Esophagus,GTEx
SLC16A3,-0.100911643,Esophagus,GTEx
MYOM1,0.527351342,Esophagus,GTEx
PTPRM,0.465238159,Esophagus,GTEx
PTPN2,-0.06224972,Esophagus,GTEx
ROCK1,0.476876952,Esophagus,GTEx
CDH2,0.403304385,Esophagus,GTEx
CDH20,0.069911992,Esophagus,GTEx
CDH7,0.195593839,Esophagus,GTEx
CDH19,0.33363004,Esophagus,GTEx
PIP5K1C,0.424316983,Esophagus,GTEx
VAV1,0.135328211,Esophagus,GTEx
INSR,0.367834568,Esophagus,GTEx
RAVER1,0.264324908,Esophagus,GTEx
KEAP1,-0.083064127,Esophagus,GTEx
DNM2,0.108295779,Esophagus,GTEx
CALR,-0.021258899,Esophagus,GTEx
PRKACA,0.402962759,Esophagus,GTEx
SIPA1L3,0.012356599,Esophagus,GTEx
ACTN4,0.183469854,Esophagus,GTEx
CEACAM1,-0.129078879,Esophagus,GTEx
PLAUR,0.010841088,Esophagus,GTEx
PVR,0.323597317,Esophagus,GTEx
VASP,0.333939123,Esophagus,GTEx
ARHGAP35,0.417684579,Esophagus,GTEx
CYTH2,-0.058723907,Esophagus,GTEx
PTPRH,0.23741161,Esophagus,GTEx
CSNK2A1,0.217022268,Esophagus,GTEx
SIRPA,0.16689137,Esophagus,GTEx
PTPRA,0.560657465,Esophagus,GTEx
PRNP,0.402985207,Esophagus,GTEx
FERMT1,0.018865128,Esophagus,GTEx
SRC,0.113377408,Esophagus,GTEx
PLCG1,0.487710094,Esophagus,GTEx
PTPRT,0.161498777,Esophagus,GTEx
SDC4,-0.128835212,Esophagus,GTEx
CDH22,-0.164697135,Esophagus,GTEx
PTPN1,0.068702496,Esophagus,GTEx
CASS4,0.312811725,Esophagus,GTEx
CDH4,0.369167025,Esophagus,GTEx
TIAM1,-0.111500807,Esophagus,GTEx
ITGB2,0.197213214,Esophagus,GTEx
ARVCF,0.466129528,Esophagus,GTEx
CRKL,0.085956928,Esophagus,GTEx
MAPK1,0.398227959,Esophagus,GTEx
PPM1F,0.247641925,Esophagus,GTEx
NF2,0.134397557,Esophagus,GTEx
RNF185,0.316592154,Esophagus,GTEx
MYH9,0.525422175,Esophagus,GTEx
SH3BP1,-0.064424861,Esophagus,GTEx
TRIOBP,0.267382484,Esophagus,GTEx
CSNK1E,0.287781995,Esophagus,GTEx
PARVB,0.255941391,Esophagus,GTEx
SH3KBP1,0.340291494,Esophagus,GTEx
SMPX,0.283526226,Esophagus,GTEx
MSN,0.356127668,Esophagus,GTEx
ARHGEF6,0.483868972,Esophagus,GTEx
FLNA,0.515204446,Esophagus,GTEx
AJAP1,0.364277334,Stomach,GTEx
FBLIM1,0.344095213,Stomach,GTEx
CDC42,0.464678589,Stomach,GTEx
ASAP3,0.315796632,Stomach,GTEx
SLC9A1,-0.135706784,Stomach,GTEx
WASF2,0.587832287,Stomach,GTEx
EPB41,-0.198646108,Stomach,GTEx
PTPRU,0.502481014,Stomach,GTEx
FABP3,-0.150720898,Stomach,GTEx
MACF1,0.429575131,Stomach,GTEx
PTPRF,0.06516133,Stomach,GTEx
TSPAN1,-0.218725165,Stomach,GTEx
ITGB3BP,0.424340346,Stomach,GTEx
NEXN,0.244537371,Stomach,GTEx
SSX2IP,0.353701889,Stomach,GTEx
BCAR3,0.420925207,Stomach,GTEx
VAV3,-0.279428549,Stomach,GTEx
RAP1A,0.424373632,Stomach,GTEx
CAPZA1,0.39046077,Stomach,GTEx
ITGA10,0.139330834,Stomach,GTEx
HAX1,0.483862039,Stomach,GTEx
SHC1,0.54572141,Stomach,GTEx
ARHGEF2,0.331236574,Stomach,GTEx
CSRP1,0.144423903,Stomach,GTEx
PTPN14,0.569346589,Stomach,GTEx
CAPN2,0.126289696,Stomach,GTEx
ENAH,0.525476205,Stomach,GTEx
ARF1,0.450885534,Stomach,GTEx
RHOU,0.455775462,Stomach,GTEx
ACP1,0.083157714,Stomach,GTEx
ASAP2,0.584975221,Stomach,GTEx
ITGB1BP1,0.475716969,Stomach,GTEx
SDC1,-0.236376398,Stomach,GTEx
SOS1,0.633419599,Stomach,GTEx
SPTBN1,0.64791321,Stomach,GTEx
CTNNA2,0.28772248,Stomach,GTEx
FHL2,0.452366308,Stomach,GTEx
NCK2,0.458451005,Stomach,GTEx
LIMS1,0.589146758,Stomach,GTEx
ACTR3,0.456825158,Stomach,GTEx
LIMS2,0.199147571,Stomach,GTEx
PKP4,0.546272648,Stomach,GTEx
ITGB6,-0.17449175,Stomach,GTEx
ITGA6,-0.168301225,Stomach,GTEx
ITGA4,0.21137636,Stomach,GTEx
ITGAV,0.518051295,Stomach,GTEx
CASP8,0.202772106,Stomach,GTEx
ABI2,0.542128127,Stomach,GTEx
NRP2,0.181886902,Stomach,GTEx
TNS1,0.2488999,Stomach,GTEx
ARPC2,0.363207507,Stomach,GTEx
IRS1,0.481071223,Stomach,GTEx
INPP5D,0.316223622,Stomach,GTEx
ILKAP,0.513880517,Stomach,GTEx
ANKRD28,0.424026839,Stomach,GTEx
ITGA9,0.413803,Stomach,GTEx
CTNNB1,0.621975357,Stomach,GTEx
RHOA,0.528196893,Stomach,GTEx
PPM1M,0.544390929,Stomach,GTEx
NISCH,0.623845432,Stomach,GTEx
PRKCD,-0.175916703,Stomach,GTEx
FLNB,0.571178614,Stomach,GTEx
MAGI1,-0.103738858,Stomach,GTEx
CD47,0.347247996,Stomach,GTEx
ITGB5,0.416034191,Stomach,GTEx
HEG1,0.482399889,Stomach,GTEx
PLD1,0.312964002,Stomach,GTEx
ECT2,0.056439624,Stomach,GTEx
PIK3CA,0.593881381,Stomach,GTEx
LPP,0.354586041,Stomach,GTEx
DLG1,0.603344164,Stomach,GTEx
ADD1,0.496788571,Stomach,GTEx
SHROOM3,-0.214426223,Stomach,GTEx
ARHGAP24,0.306079905,Stomach,GTEx
GAB1,0.607467997,Stomach,GTEx
RAPGEF2,0.625818177,Stomach,GTEx
PALLD,0.238112237,Stomach,GTEx
CASP3,0.23615079,Stomach,GTEx
SORBS2,0.35505174,Stomach,GTEx
FAT1,0.472979486,Stomach,GTEx
EXOC3,0.486400648,Stomach,GTEx
CTNND2,0.368972295,Stomach,GTEx
TRIO,0.413972861,Stomach,GTEx
CDH18,0.412259184,Stomach,GTEx
CDH12,0.094562633,Stomach,GTEx
CDH10,0.47426662,Stomach,GTEx
CDH9,0.207486682,Stomach,GTEx
CDH6,0.39085197,Stomach,GTEx
PDZD2,0.558432131,Stomach,GTEx
ITGA1,0.271545022,Stomach,GTEx
ITGA2,0.28226069,Stomach,GTEx
PDE4D,0.556395285,Stomach,GTEx
RASA1,0.668148549,Stomach,GTEx
FER,0.483593181,Stomach,GTEx
PPP2CA,0.466414695,Stomach,GTEx
CTNNA1,0.478358403,Stomach,GTEx
DIAPH1,-0.11788419,Stomach,GTEx
ARHGAP26,0.459335609,Stomach,GTEx
DBN1,0.397075488,Stomach,GTEx
NEDD9,0.33035177,Stomach,GTEx
RNF5,0.449517871,Stomach,GTEx
DEF6,-0.262597692,Stomach,GTEx
CD2AP,0.05570899,Stomach,GTEx
MYO6,0.098175282,Stomach,GTEx
FYN,0.526946894,Stomach,GTEx
MARCKS,0.11807779,Stomach,GTEx
PTPRK,0.414883853,Stomach,GTEx
EZR,-0.249880306,Stomach,GTEx
GNA12,0.56216763,Stomach,GTEx
ACTB,0.477306652,Stomach,GTEx
FSCN1,0.398884955,Stomach,GTEx
RAC1,0.503630453,Stomach,GTEx
ITGB8,0.543146365,Stomach,GTEx
ELMO1,0.516062699,Stomach,GTEx
EGFR,0.521173929,Stomach,GTEx
LIMK1,0.300095753,Stomach,GTEx
HSPB1,0.452679135,Stomach,GTEx
PTPN12,0.504214555,Stomach,GTEx
KRIT1,0.645408948,Stomach,GTEx
TRIP6,0.514566322,Stomach,GTEx
CBLL1,0.582819993,Stomach,GTEx
TES,0.53858978,Stomach,GTEx
CAV1,0.185540241,Stomach,GTEx
MET,0.116339163,Stomach,GTEx
WASL,0.600451982,Stomach,GTEx
ZYX,0.407043987,Stomach,GTEx
KCNH2,0.349563219,Stomach,GTEx
DLC1,0.349963802,Stomach,GTEx
SORBS3,0.405105231,Stomach,GTEx
PTK2B,0.195085045,Stomach,GTEx
ADAM9,0.270390449,Stomach,GTEx
LYN,0.296997815,Stomach,GTEx
SDCBP,0.47689438,Stomach,GTEx
PABPC1,0.550663001,Stomach,GTEx
PTK2,0.560147489,Stomach,GTEx
SCRIB,0.386280132,Stomach,GTEx
PLEC,0.504172706,Stomach,GTEx
SHARPIN,0.433817172,Stomach,GTEx
TESK1,0.513088231,Stomach,GTEx
TLN1,0.379724005,Stomach,GTEx
TJP2,0.374560804,Stomach,GTEx
OSTF1,0.253490878,Stomach,GTEx
SYK,0.058074972,Stomach,GTEx
SPTLC1,0.596795032,Stomach,GTEx
CORO2A,-0.106949608,Stomach,GTEx
ENG,0.398395935,Stomach,GTEx
ABL1,0.428251087,Stomach,GTEx
RAPGEF1,0.542270976,Stomach,GTEx
VAV2,0.563167304,Stomach,GTEx
ITGA8,0.282573502,Stomach,GTEx
VIM,0.434459669,Stomach,GTEx
ARHGAP21,0.517681746,Stomach,GTEx
ABI1,0.515209557,Stomach,GTEx
MPP7,0.465729922,Stomach,GTEx
SVIL,0.11420754,Stomach,GTEx
ARHGAP12,0.28757248,Stomach,GTEx
ITGB1,0.452982289,Stomach,GTEx
NRP1,0.431041599,Stomach,GTEx
PARD3,0.386482837,Stomach,GTEx
MAPK8,0.566875768,Stomach,GTEx
ANK3,0.612471923,Stomach,GTEx
CTNNA3,0.232755477,Stomach,GTEx
VCL,0.388907604,Stomach,GTEx
DLG5,0.610863724,Stomach,GTEx
LDB3,0.282698866,Stomach,GTEx
PTEN,0.542999741,Stomach,GTEx
SORBS1,0.203336453,Stomach,GTEx
ADAM12,0.225972664,Stomach,GTEx
DOCK1,0.6489957,Stomach,GTEx
HRAS,0.432574686,Stomach,GTEx
CD151,0.474091102,Stomach,GTEx
ILK,0.372058856,Stomach,GTEx
PARVA,0.322132036,Stomach,GTEx
PLEKHA7,-0.124211789,Stomach,GTEx
PTPRJ,-0.102256176,Stomach,GTEx
CTNND1,0.063911728,Stomach,GTEx
LPXN,0.2605921,Stomach,GTEx
SLC3A2,0.260183851,Stomach,GTEx
FERMT3,0.237128152,Stomach,GTEx
CAPN1,0.281850033,Stomach,GTEx
CFL1,0.373450071,Stomach,GTEx
CORO1B,0.051262862,Stomach,GTEx
PPFIA1,0.627066814,Stomach,GTEx
CTTN,0.455701357,Stomach,GTEx
INPPL1,0.543468347,Stomach,GTEx
MYO7A,0.449953683,Stomach,GTEx
PAK1,0.191185485,Stomach,GTEx
RDX,0.568197264,Stomach,GTEx
LAYN,0.177378278,Stomach,GTEx
CBL,0.597753014,Stomach,GTEx
THY1,0.421893601,Stomach,GTEx
ARHGEF12,0.618111968,Stomach,GTEx
ARHGAP32,0.337917549,Stomach,GTEx
PTPN6,-0.018950889,Stomach,GTEx
PTPRO,0.449881035,Stomach,GTEx
TUBA1B,0.441943911,Stomach,GTEx
RACGAP1,0.362187934,Stomach,GTEx
LIMA1,0.413768628,Stomach,GTEx
ITGB7,0.015472666,Stomach,GTEx
ITGA5,0.403082136,Stomach,GTEx
ITGA7,0.243286924,Stomach,GTEx
LRP1,0.396837903,Stomach,GTEx
AGAP2,0.40380716,Stomach,GTEx
LIN7A,0.391120907,Stomach,GTEx
VEZT,0.611461508,Stomach,GTEx
SSH1,0.561738619,Stomach,GTEx
TRPV4,0.208866278,Stomach,GTEx
GIT2,0.627188762,Stomach,GTEx
PTPN11,0.555134948,Stomach,GTEx
PXN,0.521472349,Stomach,GTEx
CLIP1,0.474016356,Stomach,GTEx
STARD13,0.517427488,Stomach,GTEx
TRPC4,0.112076796,Stomach,GTEx
LMO7,-0.176102377,Stomach,GTEx
ARHGEF7,0.572905231,Stomach,GTEx
MMP14,0.491672234,Stomach,GTEx
CDH24,0.5951571,Stomach,GTEx
PRKD1,0.490061359,Stomach,GTEx
ARHGAP5,0.600237751,Stomach,GTEx
ARF6,0.35117862,Stomach,GTEx
FERMT2,0.181631922,Stomach,GTEx
KTN1,0.579233046,Stomach,GTEx
AKAP5,0.523372829,Stomach,GTEx
HSPA2,0.299070041,Stomach,GTEx
ACTN1,0.223466803,Stomach,GTEx
PSEN1,0.454430361,Stomach,GTEx
NUMB,0.651118608,Stomach,GTEx
DYNC1H1,0.604595398,Stomach,GTEx
ZFYVE21,0.402211287,Stomach,GTEx
AKT1,0.478528628,Stomach,GTEx
TJP1,0.542847577,Stomach,GTEx
TRPM7,0.686739497,Stomach,GTEx
CGNL1,0.088193611,Stomach,GTEx
ADAM10,0.569534416,Stomach,GTEx
ITGA11,0.373754566,Stomach,GTEx
CSK,0.133422041,Stomach,GTEx
PEAK1,0.611969577,Stomach,GTEx
CIB2,0.473904273,Stomach,GTEx
CIB1,-0.05989141,Stomach,GTEx
IQGAP1,0.610806873,Stomach,GTEx
SYNM,0.194944869,Stomach,GTEx
MAPK8IP3,0.482796024,Stomach,GTEx
PKD1,0.385351455,Stomach,GTEx
PDPK1,0.559822927,Stomach,GTEx
NUDT16L1,0.08521965,Stomach,GTEx
SH2B1,0.51913126,Stomach,GTEx
ITGAL,0.032195867,Stomach,GTEx
ITGAM,0.502442639,Stomach,GTEx
ITGAX,0.212170594,Stomach,GTEx
ITGAD,0.115633683,Stomach,GTEx
TGFB1I1,0.228504731,Stomach,GTEx
CDH8,0.441055724,Stomach,GTEx
CDH11,0.453818817,Stomach,GTEx
CDH5,0.508423368,Stomach,GTEx
CDH3,0.074299624,Stomach,GTEx
CDH1,-0.260559019,Stomach,GTEx
BCAR1,-0.051241518,Stomach,GTEx
CDH15,0.336276871,Stomach,GTEx
CRK,0.550643591,Stomach,GTEx
ITGAE,0.449763172,Stomach,GTEx
PFN1,0.464753689,Stomach,GTEx
NDEL1,0.538771772,Stomach,GTEx
MYH10,0.386647342,Stomach,GTEx
GIT1,0.504654514,Stomach,GTEx
SRCIN1,0.139779261,Stomach,GTEx
LASP1,0.034393714,Stomach,GTEx
GRB7,-0.313254802,Stomach,GTEx
WIPF2,0.471349123,Stomach,GTEx
JUP,-0.141931177,Stomach,GTEx
STAT3,0.550269998,Stomach,GTEx
ITGB3,0.571931437,Stomach,GTEx
ABI3,0.268712949,Stomach,GTEx
ITGA3,0.465385365,Stomach,GTEx
NME1,0.14108931,Stomach,GTEx
PRKCA,0.42798712,Stomach,GTEx
GRB2,0.548357224,Stomach,GTEx
ITGB4,0.12278911,Stomach,GTEx
SLC16A3,0.25198597,Stomach,GTEx
MYOM1,0.339723752,Stomach,GTEx
PTPRM,0.509693401,Stomach,GTEx
PTPN2,0.335020521,Stomach,GTEx
ROCK1,0.558191263,Stomach,GTEx
CDH2,-0.093533802,Stomach,GTEx
CDH20,0.038741938,Stomach,GTEx
CDH7,0.383589238,Stomach,GTEx
CDH19,0.237193894,Stomach,GTEx
PIP5K1C,0.380353085,Stomach,GTEx
VAV1,0.302926131,Stomach,GTEx
INSR,0.460578043,Stomach,GTEx
RAVER1,0.517292695,Stomach,GTEx
KEAP1,0.412074745,Stomach,GTEx
DNM2,-0.07488899,Stomach,GTEx
CALR,0.264677541,Stomach,GTEx
PRKACA,0.431140381,Stomach,GTEx
SIPA1L3,-0.052480135,Stomach,GTEx
ACTN4,0.488092715,Stomach,GTEx
CEACAM1,-0.182100877,Stomach,GTEx
PLAUR,0.240100774,Stomach,GTEx
PVR,0.40813625,Stomach,GTEx
VASP,0.39951485,Stomach,GTEx
ARHGAP35,0.479432655,Stomach,GTEx
CYTH2,0.180294557,Stomach,GTEx
PTPRH,-0.252172505,Stomach,GTEx
CSNK2A1,0.514840552,Stomach,GTEx
SIRPA,0.436646833,Stomach,GTEx
PTPRA,0.597915066,Stomach,GTEx
PRNP,0.318932156,Stomach,GTEx
FERMT1,-0.083404235,Stomach,GTEx
SRC,0.221580786,Stomach,GTEx
