adhesome_gene,lncRNA,corr,condition
CDH2,KCNQ1OT1,0.126043545,GTEx
CDH20,KCNQ1OT1,0.033091421,GTEx
CDH7,KCNQ1OT1,0.04426165,GTEx
CDH19,KCNQ1OT1,0.118367124,GTEx
PIP5K1C,KCNQ1OT1,0.390141842,GTEx
VAV1,KCNQ1OT1,0.186448088,GTEx
INSR,KCNQ1OT1,0.334173539,GTEx
RAVER1,KCNQ1OT1,0.402969608,GTEx
KEAP1,KCNQ1OT1,0.244724805,GTEx
DNM2,KCNQ1OT1,0.218440486,GTEx
CALR,KCNQ1OT1,0.347170081,GTEx
PRKACA,KCNQ1OT1,0.140432546,GTEx
SIPA1L3,KCNQ1OT1,0.255500789,GTEx
ACTN4,KCNQ1OT1,0.379798807,GTEx
CEACAM1,KCNQ1OT1,0.186362689,GTEx
PLAUR,KCNQ1OT1,0.294093015,GTEx
PVR,KCNQ1OT1,0.450711202,GTEx
VASP,KCNQ1OT1,0.285284087,GTEx
ARHGAP35,KCNQ1OT1,0.220132921,GTEx
CYTH2,KCNQ1OT1,0.41631023,GTEx
PTPRH,KCNQ1OT1,0.14135531,GTEx
CSNK2A1,KCNQ1OT1,0.298721,GTEx
SIRPA,KCNQ1OT1,0.055286073,GTEx
PTPRA,KCNQ1OT1,0.315393095,GTEx
PRNP,KCNQ1OT1,0.289427797,GTEx
FERMT1,KCNQ1OT1,0.200569029,GTEx
SRC,KCNQ1OT1,0.451569917,GTEx
PLCG1,KCNQ1OT1,0.540940937,GTEx
PTPRT,KCNQ1OT1,0.008831083,GTEx
SDC4,KCNQ1OT1,0.186454018,GTEx
CDH22,KCNQ1OT1,-0.010661058,GTEx
PTPN1,KCNQ1OT1,0.292230866,GTEx
CASS4,KCNQ1OT1,0.186605956,GTEx
CDH4,KCNQ1OT1,0.169203705,GTEx
TIAM1,KCNQ1OT1,0.110980963,GTEx
ITGB2,KCNQ1OT1,0.185967448,GTEx
ARVCF,KCNQ1OT1,0.369980886,GTEx
CRKL,KCNQ1OT1,0.217471144,GTEx
MAPK1,KCNQ1OT1,0.26130352,GTEx
PPM1F,KCNQ1OT1,0.387123474,GTEx
NF2,KCNQ1OT1,0.184554282,GTEx
RNF185,KCNQ1OT1,0.445602366,GTEx
MYH9,KCNQ1OT1,0.369810135,GTEx
SH3BP1,KCNQ1OT1,0.144782522,GTEx
TRIOBP,KCNQ1OT1,0.423536246,GTEx
CSNK1E,KCNQ1OT1,0.505697581,GTEx
PARVB,KCNQ1OT1,0.079097078,GTEx
SH3KBP1,KCNQ1OT1,0.094619111,GTEx
SMPX,KCNQ1OT1,0.032796613,GTEx
MSN,KCNQ1OT1,0.315611963,GTEx
ARHGEF6,KCNQ1OT1,0.184341045,GTEx
FLNA,KCNQ1OT1,0.307324192,GTEx
AJAP1,NEAT1,0.179805646,GTEx
FBLIM1,NEAT1,0.401922773,GTEx
CDC42,NEAT1,0.315280601,GTEx
ASAP3,NEAT1,0.591075807,GTEx
SLC9A1,NEAT1,0.269628741,GTEx
WASF2,NEAT1,0.43269565,GTEx
EPB41,NEAT1,0.330534782,GTEx
PTPRU,NEAT1,0.404091088,GTEx
FABP3,NEAT1,-0.017635066,GTEx
MACF1,NEAT1,0.345971886,GTEx
PTPRF,NEAT1,0.426202642,GTEx
TSPAN1,NEAT1,0.336964038,GTEx
ITGB3BP,NEAT1,0.443280445,GTEx
NEXN,NEAT1,0.257075715,GTEx
SSX2IP,NEAT1,0.015189022,GTEx
BCAR3,NEAT1,0.48843527,GTEx
VAV3,NEAT1,0.183677503,GTEx
RAP1A,NEAT1,0.263082158,GTEx
CAPZA1,NEAT1,0.419463174,GTEx
ITGA10,NEAT1,0.375899732,GTEx
HAX1,NEAT1,0.258036771,GTEx
SHC1,NEAT1,0.515490224,GTEx
ARHGEF2,NEAT1,0.221120197,GTEx
CSRP1,NEAT1,0.308350666,GTEx
PTPN14,NEAT1,0.443544569,GTEx
CAPN2,NEAT1,0.523964369,GTEx
ENAH,NEAT1,0.3559403,GTEx
ARF1,NEAT1,0.35402009,GTEx
RHOU,NEAT1,0.237290367,GTEx
ACP1,NEAT1,0.354133288,GTEx
ASAP2,NEAT1,0.421311799,GTEx
ITGB1BP1,NEAT1,0.26350034,GTEx
SDC1,NEAT1,0.227937637,GTEx
SOS1,NEAT1,0.540818926,GTEx
SPTBN1,NEAT1,0.272131141,GTEx
CTNNA2,NEAT1,0.049292936,GTEx
FHL2,NEAT1,0.351112923,GTEx
NCK2,NEAT1,0.405754948,GTEx
LIMS1,NEAT1,0.415997152,GTEx
ACTR3,NEAT1,0.293221503,GTEx
LIMS2,NEAT1,0.352480037,GTEx
PKP4,NEAT1,0.204312422,GTEx
ITGB6,NEAT1,0.056832806,GTEx
ITGA6,NEAT1,0.464365522,GTEx
ITGA4,NEAT1,0.315261822,GTEx
ITGAV,NEAT1,0.388256648,GTEx
CASP8,NEAT1,0.434393049,GTEx
ABI2,NEAT1,0.097058015,GTEx
NRP2,NEAT1,0.43615223,GTEx
TNS1,NEAT1,0.377706258,GTEx
ARPC2,NEAT1,0.277387399,GTEx
IRS1,NEAT1,0.461768725,GTEx
INPP5D,NEAT1,0.410249052,GTEx
ILKAP,NEAT1,0.511682855,GTEx
ANKRD28,NEAT1,0.435455603,GTEx
ITGA9,NEAT1,0.343391744,GTEx
CTNNB1,NEAT1,0.504053649,GTEx
RHOA,NEAT1,0.362105063,GTEx
PPM1M,NEAT1,0.44542429,GTEx
NISCH,NEAT1,0.526052869,GTEx
PRKCD,NEAT1,0.360541699,GTEx
FLNB,NEAT1,0.538126244,GTEx
MAGI1,NEAT1,0.462526753,GTEx
CD47,NEAT1,0.356446598,GTEx
ITGB5,NEAT1,0.456360514,GTEx
HEG1,NEAT1,0.325151439,GTEx
PLD1,NEAT1,0.399347533,GTEx
ECT2,NEAT1,0.405013964,GTEx
PIK3CA,NEAT1,0.495014625,GTEx
LPP,NEAT1,0.492596893,GTEx
DLG1,NEAT1,0.280640239,GTEx
ADD1,NEAT1,0.322657853,GTEx
SHROOM3,NEAT1,0.277677691,GTEx
ARHGAP24,NEAT1,0.380265534,GTEx
GAB1,NEAT1,0.366230768,GTEx
RAPGEF2,NEAT1,0.331247865,GTEx
PALLD,NEAT1,0.34583604,GTEx
CASP3,NEAT1,0.286531138,GTEx
SORBS2,NEAT1,0.196625123,GTEx
FAT1,NEAT1,0.363309246,GTEx
EXOC3,NEAT1,0.525492534,GTEx
CTNND2,NEAT1,0.087207223,GTEx
TRIO,NEAT1,0.331557693,GTEx
CDH18,NEAT1,-0.001547093,GTEx
CDH12,NEAT1,-0.003294957,GTEx
CDH10,NEAT1,0.021226353,GTEx
CDH9,NEAT1,-0.176469642,GTEx
CDH6,NEAT1,0.212550308,GTEx
PDZD2,NEAT1,0.111165381,GTEx
ITGA1,NEAT1,0.395470431,GTEx
ITGA2,NEAT1,0.391155258,GTEx
PDE4D,NEAT1,0.214204851,GTEx
RASA1,NEAT1,0.497933815,GTEx
FER,NEAT1,0.527142142,GTEx
PPP2CA,NEAT1,0.157564515,GTEx
CTNNA1,NEAT1,0.499685679,GTEx
DIAPH1,NEAT1,0.318247114,GTEx
ARHGAP26,NEAT1,0.136098151,GTEx
DBN1,NEAT1,0.263584648,GTEx
NEDD9,NEAT1,0.411960391,GTEx
RNF5,NEAT1,0.28591289,GTEx
DEF6,NEAT1,0.365606381,GTEx
CD2AP,NEAT1,0.53920037,GTEx
MYO6,NEAT1,0.317578052,GTEx
FYN,NEAT1,0.162828378,GTEx
MARCKS,NEAT1,0.086023751,GTEx
PTPRK,NEAT1,0.405686959,GTEx
EZR,NEAT1,0.294649103,GTEx
GNA12,NEAT1,0.127031181,GTEx
ACTB,NEAT1,0.218807242,GTEx
FSCN1,NEAT1,0.181135958,GTEx
RAC1,NEAT1,0.340677913,GTEx
ITGB8,NEAT1,0.137816119,GTEx
ELMO1,NEAT1,0.032216244,GTEx
EGFR,NEAT1,0.514602946,GTEx
LIMK1,NEAT1,0.093628611,GTEx
HSPB1,NEAT1,0.272516392,GTEx
PTPN12,NEAT1,0.536287872,GTEx
KRIT1,NEAT1,0.530813373,GTEx
TRIP6,NEAT1,0.522241034,GTEx
CBLL1,NEAT1,0.342945442,GTEx
TES,NEAT1,0.351560211,GTEx
CAV1,NEAT1,0.395085205,GTEx
MET,NEAT1,0.507337531,GTEx
WASL,NEAT1,0.428574244,GTEx
ZYX,NEAT1,0.289690998,GTEx
KCNH2,NEAT1,-0.16930495,GTEx
DLC1,NEAT1,0.399018074,GTEx
SORBS3,NEAT1,0.523860342,GTEx
PTK2B,NEAT1,0.173077712,GTEx
ADAM9,NEAT1,0.443996786,GTEx
LYN,NEAT1,0.324896711,GTEx
SDCBP,NEAT1,0.367843437,GTEx
PABPC1,NEAT1,0.439525601,GTEx
PTK2,NEAT1,0.351856428,GTEx
SCRIB,NEAT1,0.446165866,GTEx
PLEC,NEAT1,0.38148068,GTEx
SHARPIN,NEAT1,0.462238823,GTEx
TESK1,NEAT1,0.381639564,GTEx
TLN1,NEAT1,0.335458366,GTEx
TJP2,NEAT1,0.461403369,GTEx
OSTF1,NEAT1,0.332917969,GTEx
SYK,NEAT1,0.345168464,GTEx
SPTLC1,NEAT1,0.490403991,GTEx
CORO2A,NEAT1,0.204317337,GTEx
ENG,NEAT1,0.411003304,GTEx
ABL1,NEAT1,0.479566556,GTEx
RAPGEF1,NEAT1,0.163681554,GTEx
VAV2,NEAT1,0.453538652,GTEx
ITGA8,NEAT1,0.348136413,GTEx
VIM,NEAT1,0.44977151,GTEx
ARHGAP21,NEAT1,0.169349941,GTEx
ABI1,NEAT1,0.359884937,GTEx
MPP7,NEAT1,0.326654897,GTEx
SVIL,NEAT1,0.311838623,GTEx
ARHGAP12,NEAT1,0.551735771,GTEx
ITGB1,NEAT1,0.375153908,GTEx
NRP1,NEAT1,0.480659831,GTEx
PARD3,NEAT1,0.455023909,GTEx
MAPK8,NEAT1,0.462180302,GTEx
ANK3,NEAT1,-0.002267013,GTEx
CTNNA3,NEAT1,-0.168665932,GTEx
VCL,NEAT1,0.337797739,GTEx
DLG5,NEAT1,0.479845948,GTEx
LDB3,NEAT1,0.164833134,GTEx
PTEN,NEAT1,0.360426302,GTEx
SORBS1,NEAT1,0.094275927,GTEx
ADAM12,NEAT1,0.133087306,GTEx
DOCK1,NEAT1,0.492333845,GTEx
HRAS,NEAT1,0.146715043,GTEx
CD151,NEAT1,0.401232744,GTEx
ILK,NEAT1,0.439352702,GTEx
PARVA,NEAT1,0.385493824,GTEx
PLEKHA7,NEAT1,0.46398121,GTEx
PTPRJ,NEAT1,0.127222664,GTEx
CTNND1,NEAT1,0.604258183,GTEx
LPXN,NEAT1,0.425486637,GTEx
SLC3A2,NEAT1,0.456450437,GTEx
FERMT3,NEAT1,0.362912998,GTEx
CAPN1,NEAT1,0.480398243,GTEx
CFL1,NEAT1,0.071503554,GTEx
CORO1B,NEAT1,0.527330884,GTEx
PPFIA1,NEAT1,0.501100716,GTEx
CTTN,NEAT1,0.577636978,GTEx
INPPL1,NEAT1,0.508864377,GTEx
MYO7A,NEAT1,0.32698137,GTEx
PAK1,NEAT1,0.097215963,GTEx
RDX,NEAT1,0.271339813,GTEx
LAYN,NEAT1,0.348962433,GTEx
CBL,NEAT1,0.272581081,GTEx
THY1,NEAT1,0.114659923,GTEx
ARHGEF12,NEAT1,0.494414802,GTEx
ARHGAP32,NEAT1,0.318283153,GTEx
PTPN6,NEAT1,0.380739017,GTEx
PTPRO,NEAT1,0.053108384,GTEx
TUBA1B,NEAT1,0.054905899,GTEx
RACGAP1,NEAT1,0.248966722,GTEx
LIMA1,NEAT1,0.490298145,GTEx
ITGB7,NEAT1,0.38904687,GTEx
ITGA5,NEAT1,0.363387955,GTEx
ITGA7,NEAT1,0.185955572,GTEx
LRP1,NEAT1,0.425838494,GTEx
AGAP2,NEAT1,-0.098185488,GTEx
LIN7A,NEAT1,0.083582711,GTEx
VEZT,NEAT1,0.481838089,GTEx
SSH1,NEAT1,0.319072307,GTEx
TRPV4,NEAT1,0.352246081,GTEx
GIT2,NEAT1,0.329915969,GTEx
PTPN11,NEAT1,0.086767231,GTEx
PXN,NEAT1,0.435091381,GTEx
CLIP1,NEAT1,0.292850373,GTEx
STARD13,NEAT1,0.414982226,GTEx
TRPC4,NEAT1,0.175695607,GTEx
LMO7,NEAT1,0.202142599,GTEx
ARHGEF7,NEAT1,0.447296574,GTEx
MMP14,NEAT1,0.524147081,GTEx
CDH24,NEAT1,0.408970722,GTEx
PRKD1,NEAT1,0.3845852,GTEx
ARHGAP5,NEAT1,0.324485618,GTEx
ARF6,NEAT1,0.399887932,GTEx
FERMT2,NEAT1,0.341777506,GTEx
KTN1,NEAT1,0.329176576,GTEx
AKAP5,NEAT1,0.139730123,GTEx
HSPA2,NEAT1,0.013835363,GTEx
ACTN1,NEAT1,0.28831282,GTEx
PSEN1,NEAT1,0.397224648,GTEx
NUMB,NEAT1,0.508022146,GTEx
DYNC1H1,NEAT1,0.206795499,GTEx
ZFYVE21,NEAT1,0.347994136,GTEx
AKT1,NEAT1,0.411854862,GTEx
TJP1,NEAT1,0.397152761,GTEx
TRPM7,NEAT1,0.546077889,GTEx
CGNL1,NEAT1,0.360945381,GTEx
ADAM10,NEAT1,0.390781039,GTEx
ITGA11,NEAT1,0.332315813,GTEx
CSK,NEAT1,0.305071176,GTEx
PEAK1,NEAT1,0.432922279,GTEx
CIB2,NEAT1,0.053008929,GTEx
CIB1,NEAT1,0.369742269,GTEx
IQGAP1,NEAT1,0.404352753,GTEx
SYNM,NEAT1,0.043862782,GTEx
MAPK8IP3,NEAT1,0.343399557,GTEx
PKD1,NEAT1,0.250517914,GTEx
PDPK1,NEAT1,0.341148838,GTEx
NUDT16L1,NEAT1,0.087820978,GTEx
SH2B1,NEAT1,0.444793812,GTEx
ITGAL,NEAT1,0.279796105,GTEx
ITGAM,NEAT1,0.246853522,GTEx
ITGAX,NEAT1,0.192111377,GTEx
ITGAD,NEAT1,0.150309197,GTEx
TGFB1I1,NEAT1,0.45654821,GTEx
CDH8,NEAT1,0.120116006,GTEx
CDH11,NEAT1,0.38974681,GTEx
CDH5,NEAT1,0.402098177,GTEx
CDH3,NEAT1,0.085094205,GTEx
CDH1,NEAT1,0.157000813,GTEx
BCAR1,NEAT1,0.278847512,GTEx
CDH15,NEAT1,0.178650756,GTEx
CRK,NEAT1,0.424314201,GTEx
ITGAE,NEAT1,0.351957415,GTEx
PFN1,NEAT1,0.198816021,GTEx
NDEL1,NEAT1,0.391432324,GTEx
MYH10,NEAT1,0.180815506,GTEx
GIT1,NEAT1,0.150829332,GTEx
SRCIN1,NEAT1,0.209764266,GTEx
LASP1,NEAT1,0.331258168,GTEx
GRB7,NEAT1,0.252257429,GTEx
WIPF2,NEAT1,0.271725015,GTEx
JUP,NEAT1,0.394167358,GTEx
STAT3,NEAT1,0.465430763,GTEx
ITGB3,NEAT1,0.323283177,GTEx
ABI3,NEAT1,0.324921877,GTEx
ITGA3,NEAT1,0.491993611,GTEx
NME1,NEAT1,0.10526044,GTEx
PRKCA,NEAT1,-0.019145798,GTEx
GRB2,NEAT1,0.136662954,GTEx
ITGB4,NEAT1,0.299210362,GTEx
SLC16A3,NEAT1,0.314974495,GTEx
MYOM1,NEAT1,0.097016479,GTEx
PTPRM,NEAT1,0.423899434,GTEx
PTPN2,NEAT1,0.493975591,GTEx
ROCK1,NEAT1,0.398387842,GTEx
CDH2,NEAT1,-0.217922649,GTEx
CDH20,NEAT1,0.184215956,GTEx
CDH7,NEAT1,-0.045792367,GTEx
CDH19,NEAT1,0.137673092,GTEx
PIP5K1C,NEAT1,0.231070186,GTEx
VAV1,NEAT1,0.257061654,GTEx
INSR,NEAT1,0.411374708,GTEx
RAVER1,NEAT1,0.384433339,GTEx
KEAP1,NEAT1,0.322158593,GTEx
DNM2,NEAT1,0.441358745,GTEx
CALR,NEAT1,0.380247014,GTEx
PRKACA,NEAT1,-0.019760294,GTEx
SIPA1L3,NEAT1,0.363060465,GTEx
ACTN4,NEAT1,0.476862059,GTEx
CEACAM1,NEAT1,0.279596308,GTEx
PLAUR,NEAT1,0.390325287,GTEx
PVR,NEAT1,0.384913246,GTEx
VASP,NEAT1,0.256914731,GTEx
ARHGAP35,NEAT1,0.042162902,GTEx
CYTH2,NEAT1,0.53900487,GTEx
PTPRH,NEAT1,0.069341177,GTEx
CSNK2A1,NEAT1,0.419193916,GTEx
SIRPA,NEAT1,0.068682381,GTEx
PTPRA,NEAT1,0.210972681,GTEx
PRNP,NEAT1,0.064224969,GTEx
FERMT1,NEAT1,0.172586225,GTEx
SRC,NEAT1,0.402888218,GTEx
PLCG1,NEAT1,0.516641425,GTEx
PTPRT,NEAT1,0.101859776,GTEx
SDC4,NEAT1,0.372047152,GTEx
CDH22,NEAT1,0.030901993,GTEx
PTPN1,NEAT1,0.438147061,GTEx
CASS4,NEAT1,0.150073269,GTEx
CDH4,NEAT1,0.117797197,GTEx
TIAM1,NEAT1,0.0867134,GTEx
ITGB2,NEAT1,0.252758681,GTEx
ARVCF,NEAT1,0.306949985,GTEx
CRKL,NEAT1,0.202892851,GTEx
MAPK1,NEAT1,0.148445247,GTEx
PPM1F,NEAT1,0.402622795,GTEx
NF2,NEAT1,0.033928475,GTEx
RNF185,NEAT1,0.534078997,GTEx
MYH9,NEAT1,0.474949991,GTEx
SH3BP1,NEAT1,0.230075296,GTEx
TRIOBP,NEAT1,0.476856993,GTEx
CSNK1E,NEAT1,0.570371567,GTEx
PARVB,NEAT1,0.055072081,GTEx
SH3KBP1,NEAT1,0.203945215,GTEx
SMPX,NEAT1,-0.085044059,GTEx
MSN,NEAT1,0.310287283,GTEx
ARHGEF6,NEAT1,0.177236025,GTEx
FLNA,NEAT1,0.423695412,GTEx
AJAP1,MALAT1,0.254983879,GTEx
FBLIM1,MALAT1,0.340523856,GTEx
CDC42,MALAT1,0.266025593,GTEx
ASAP3,MALAT1,0.510222619,GTEx
SLC9A1,MALAT1,0.301204802,GTEx
WASF2,MALAT1,0.352535436,GTEx
EPB41,MALAT1,0.254813333,GTEx
PTPRU,MALAT1,0.423222028,GTEx
FABP3,MALAT1,0.094809418,GTEx
MACF1,MALAT1,0.52043403,GTEx
PTPRF,MALAT1,0.265169243,GTEx
TSPAN1,MALAT1,0.279184811,GTEx
ITGB3BP,MALAT1,0.47946723,GTEx
NEXN,MALAT1,0.173139703,GTEx
SSX2IP,MALAT1,0.177262406,GTEx
BCAR3,MALAT1,0.3491225,GTEx
VAV3,MALAT1,0.113838755,GTEx
RAP1A,MALAT1,0.343950991,GTEx
CAPZA1,MALAT1,0.27457304,GTEx
ITGA10,MALAT1,0.349137219,GTEx
HAX1,MALAT1,0.295160494,GTEx
SHC1,MALAT1,0.433580252,GTEx
ARHGEF2,MALAT1,0.336727231,GTEx
CSRP1,MALAT1,0.376483614,GTEx
PTPN14,MALAT1,0.310780788,GTEx
CAPN2,MALAT1,0.346458697,GTEx
ENAH,MALAT1,0.359917515,GTEx
ARF1,MALAT1,0.387655285,GTEx
RHOU,MALAT1,0.242834724,GTEx
ACP1,MALAT1,0.359442529,GTEx
ASAP2,MALAT1,0.465860404,GTEx
ITGB1BP1,MALAT1,0.326402275,GTEx
SDC1,MALAT1,0.067251294,GTEx
SOS1,MALAT1,0.534269402,GTEx
SPTBN1,MALAT1,0.347324458,GTEx
CTNNA2,MALAT1,0.056206972,GTEx
FHL2,MALAT1,0.297976223,GTEx
NCK2,MALAT1,0.377432881,GTEx
LIMS1,MALAT1,0.32222837,GTEx
ACTR3,MALAT1,0.219898662,GTEx
LIMS2,MALAT1,0.360100502,GTEx
PKP4,MALAT1,0.332150974,GTEx
ITGB6,MALAT1,-0.022587331,GTEx
ITGA6,MALAT1,0.273346018,GTEx
ITGA4,MALAT1,0.307973187,GTEx
ITGAV,MALAT1,0.446380404,GTEx
CASP8,MALAT1,0.183722029,GTEx
ABI2,MALAT1,0.448787836,GTEx
NRP2,MALAT1,0.387212486,GTEx
TNS1,MALAT1,0.352041401,GTEx
ARPC2,MALAT1,0.188972505,GTEx
IRS1,MALAT1,0.427099258,GTEx
INPP5D,MALAT1,0.372161159,GTEx
ILKAP,MALAT1,0.655178666,GTEx
ANKRD28,MALAT1,0.419419248,GTEx
ITGA9,MALAT1,0.36114728,GTEx
CTNNB1,MALAT1,0.552463922,GTEx
RHOA,MALAT1,0.340655556,GTEx
PPM1M,MALAT1,0.483278686,GTEx
NISCH,MALAT1,0.664992676,GTEx
PRKCD,MALAT1,0.201654072,GTEx
FLNB,MALAT1,0.459982316,GTEx
MAGI1,MALAT1,0.457391015,GTEx
CD47,MALAT1,0.51823374,GTEx
ITGB5,MALAT1,0.339703305,GTEx
HEG1,MALAT1,0.312350928,GTEx
PLD1,MALAT1,0.320408085,GTEx
ECT2,MALAT1,0.262047617,GTEx
PIK3CA,MALAT1,0.450919099,GTEx
LPP,MALAT1,0.38333745,GTEx
DLG1,MALAT1,0.352529984,GTEx
ADD1,MALAT1,0.494072196,GTEx
SHROOM3,MALAT1,0.297886752,GTEx
ARHGAP24,MALAT1,0.312877746,GTEx
GAB1,MALAT1,0.468351637,GTEx
RAPGEF2,MALAT1,0.447154045,GTEx
PALLD,MALAT1,0.320552951,GTEx
CASP3,MALAT1,0.160922267,GTEx
SORBS2,MALAT1,0.266188746,GTEx
FAT1,MALAT1,0.383644977,GTEx
EXOC3,MALAT1,0.537222264,GTEx
CTNND2,MALAT1,0.200747023,GTEx
TRIO,MALAT1,0.440894042,GTEx
CDH18,MALAT1,0.022812231,GTEx
CDH12,MALAT1,0.032644868,GTEx
CDH10,MALAT1,0.034936718,GTEx
CDH9,MALAT1,-0.091262983,GTEx
CDH6,MALAT1,0.297225132,GTEx
PDZD2,MALAT1,0.239416829,GTEx
ITGA1,MALAT1,0.316514709,GTEx
ITGA2,MALAT1,0.284840788,GTEx
PDE4D,MALAT1,0.292578078,GTEx
RASA1,MALAT1,0.515601008,GTEx
FER,MALAT1,0.599803153,GTEx
PPP2CA,MALAT1,0.280615004,GTEx
CTNNA1,MALAT1,0.417069606,GTEx
DIAPH1,MALAT1,0.225693621,GTEx
ARHGAP26,MALAT1,0.215278629,GTEx
DBN1,MALAT1,0.368894723,GTEx
NEDD9,MALAT1,0.356915445,GTEx
RNF5,MALAT1,0.426826553,GTEx
DEF6,MALAT1,0.253472272,GTEx
CD2AP,MALAT1,0.385395929,GTEx
MYO6,MALAT1,0.288802369,GTEx
FYN,MALAT1,0.251268286,GTEx
MARCKS,MALAT1,0.224203474,GTEx
PTPRK,MALAT1,0.298190259,GTEx
EZR,MALAT1,0.274156105,GTEx
GNA12,MALAT1,0.248238162,GTEx
ACTB,MALAT1,0.280618725,GTEx
FSCN1,MALAT1,0.282385576,GTEx
RAC1,MALAT1,0.301763681,GTEx
ITGB8,MALAT1,0.271986487,GTEx
ELMO1,MALAT1,0.210342732,GTEx
EGFR,MALAT1,0.344906573,GTEx
LIMK1,MALAT1,0.185488266,GTEx
HSPB1,MALAT1,0.318253953,GTEx
PTPN12,MALAT1,0.50113855,GTEx
KRIT1,MALAT1,0.533759754,GTEx
TRIP6,MALAT1,0.48443889,GTEx
CBLL1,MALAT1,0.361641363,GTEx
TES,MALAT1,0.300609455,GTEx
CAV1,MALAT1,0.347935486,GTEx
MET,MALAT1,0.270227886,GTEx
WASL,MALAT1,0.481986694,GTEx
ZYX,MALAT1,0.350673957,GTEx
KCNH2,MALAT1,-0.011260982,GTEx
DLC1,MALAT1,0.370983762,GTEx
SORBS3,MALAT1,0.555706962,GTEx
PTK2B,MALAT1,0.148457395,GTEx
ADAM9,MALAT1,0.365586684,GTEx
LYN,MALAT1,0.255694431,GTEx
SDCBP,MALAT1,0.283618954,GTEx
PABPC1,MALAT1,0.302165677,GTEx
PTK2,MALAT1,0.429321,GTEx
SCRIB,MALAT1,0.406579776,GTEx
PLEC,MALAT1,0.357539256,GTEx
SHARPIN,MALAT1,0.463975352,GTEx
TESK1,MALAT1,0.411907603,GTEx
TLN1,MALAT1,0.331830906,GTEx
TJP2,MALAT1,0.386074518,GTEx
OSTF1,MALAT1,0.264092351,GTEx
SYK,MALAT1,0.202649337,GTEx
SPTLC1,MALAT1,0.390705341,GTEx
CORO2A,MALAT1,0.204772132,GTEx
ENG,MALAT1,0.397950389,GTEx
ABL1,MALAT1,0.511432809,GTEx
RAPGEF1,MALAT1,0.203587062,GTEx
VAV2,MALAT1,0.342428059,GTEx
ITGA8,MALAT1,0.334802135,GTEx
VIM,MALAT1,0.414382942,GTEx
ARHGAP21,MALAT1,0.27763385,GTEx
ABI1,MALAT1,0.374013365,GTEx
MPP7,MALAT1,0.369384958,GTEx
SVIL,MALAT1,0.367030735,GTEx
ARHGAP12,MALAT1,0.481326751,GTEx
ITGB1,MALAT1,0.320399887,GTEx
NRP1,MALAT1,0.441448312,GTEx
PARD3,MALAT1,0.427219548,GTEx
MAPK8,MALAT1,0.576635936,GTEx
ANK3,MALAT1,0.170239514,GTEx
CTNNA3,MALAT1,0.077133206,GTEx
VCL,MALAT1,0.318250749,GTEx
DLG5,MALAT1,0.47898146,GTEx
LDB3,MALAT1,0.219824714,GTEx
PTEN,MALAT1,0.419272314,GTEx
SORBS1,MALAT1,0.146146685,GTEx
ADAM12,MALAT1,0.275516634,GTEx
DOCK1,MALAT1,0.459339959,GTEx
HRAS,MALAT1,0.266800659,GTEx
CD151,MALAT1,0.279670726,GTEx
ILK,MALAT1,0.453870243,GTEx
PARVA,MALAT1,0.355447435,GTEx
PLEKHA7,MALAT1,0.341593462,GTEx
PTPRJ,MALAT1,0.140144589,GTEx
CTNND1,MALAT1,0.45089145,GTEx
LPXN,MALAT1,0.383940651,GTEx
SLC3A2,MALAT1,0.392198457,GTEx
FERMT3,MALAT1,0.237419187,GTEx
CAPN1,MALAT1,0.392733495,GTEx
CFL1,MALAT1,0.12926405,GTEx
CORO1B,MALAT1,0.331415442,GTEx
PPFIA1,MALAT1,0.543316255,GTEx
CTTN,MALAT1,0.512099614,GTEx
INPPL1,MALAT1,0.555646199,GTEx
MYO7A,MALAT1,0.27952474,GTEx
PAK1,MALAT1,0.213343888,GTEx
RDX,MALAT1,0.257988517,GTEx
LAYN,MALAT1,0.471023008,GTEx
CBL,MALAT1,0.36422712,GTEx
THY1,MALAT1,0.294925844,GTEx
ARHGEF12,MALAT1,0.512204361,GTEx
ARHGAP32,MALAT1,0.324179118,GTEx
PTPN6,MALAT1,0.230706876,GTEx
PTPRO,MALAT1,0.148722981,GTEx
TUBA1B,MALAT1,0.217191201,GTEx
RACGAP1,MALAT1,0.22765145,GTEx
LIMA1,MALAT1,0.428589768,GTEx
ITGB7,MALAT1,0.302754116,GTEx
ITGA5,MALAT1,0.310518584,GTEx
ITGA7,MALAT1,0.268592508,GTEx
LRP1,MALAT1,0.468627944,GTEx
AGAP2,MALAT1,0.010352992,GTEx
LIN7A,MALAT1,0.240916699,GTEx
VEZT,MALAT1,0.512668296,GTEx
SSH1,MALAT1,0.423720074,GTEx
TRPV4,MALAT1,0.200434646,GTEx
GIT2,MALAT1,0.415103408,GTEx
PTPN11,MALAT1,0.101989115,GTEx
PXN,MALAT1,0.379796023,GTEx
CLIP1,MALAT1,0.331520859,GTEx
STARD13,MALAT1,0.41586988,GTEx
TRPC4,MALAT1,0.278508629,GTEx
LMO7,MALAT1,0.181283722,GTEx
ARHGEF7,MALAT1,0.586886331,GTEx
MMP14,MALAT1,0.385731005,GTEx
CDH24,MALAT1,0.424974875,GTEx
PRKD1,MALAT1,0.455642254,GTEx
ARHGAP5,MALAT1,0.434474545,GTEx
ARF6,MALAT1,0.271899747,GTEx
